feature,coefficient
last_purchase_days,2.087306381233198
churn_probability,2.0255647927041327
log_purchase,0.5336832014521051
high_value_customer,0.3325764321922065
income,0.27792117220526064
pca_x,-0.0014007921994603212
customer_id,-0.015441879357329638
segment,-0.025268914870699394
purchase_amount,-0.15226669092323727
purchase_probability,-0.24800572442265525
support_calls,-0.251206505974449
customer_lifetime_value,-0.28404522439010343
pca_y,-0.34529269035425075
recency_score,-0.3582161249331004
age,-0.4179485885428671
website_visits,-0.43745629195779584
engagement_score,-0.5256249979202322
