customer_id,age,income,purchase_amount,last_purchase_days,website_visits,support_calls,segment,preferred_category,engagement_score,recency_score,purchase_probability,churn_probability,churn,high_value_customer,customer_lifetime_value,log_purchase,pca_x,pca_y
1,23,39256,2261,268,7,8,0,Fashion,17.76,0.0037,0.3817,0.6593,1,0,40157.62,7.724,-1.477,1.255
2,23,121376,3393,237,9,6,2,Beauty,16.89,0.0042,0.5902,0.617,1,0,57317.95,8.1298,3.547,1.765
3,20,120158,1046,309,48,3,2,Grocery,29.55,0.0032,0.7832,0.6052,1,0,30905.12,6.9537,4.931,4.054
4,24,73173,3435,173,8,3,1,Grocery,11.94,0.0057,0.383,0.5625,1,0,40996.72,8.1421,1.257,1.851
5,25,57430,4250,190,23,7,0,Sports,26.25,0.0052,0.5625,0.4425,0,1,111562.5,8.3549,-0.624,-0.711
6,59,59282,4995,122,29,3,0,Home Decor,24.0,0.0081,0.5325,0.3535,0,1,119855.02,8.5164,0.512,-1.09
7,32,139719,4973,46,18,5,2,Fashion,21.47,0.0213,0.7108,0.2539,0,1,106785.23,8.512,4.322,2.462
8,64,83374,1581,64,31,4,1,Grocery,23.08,0.0154,0.5835,0.2671,0,0,36491.06,7.3664,2.552,-0.328
9,46,88244,2001,130,30,2,1,Beauty,20.0,0.0076,0.5488,0.408,0,0,40022.0,7.6019,1.069,1.108
10,50,31694,3551,310,39,9,0,Books,36.55,0.0032,0.6527,0.5344,0,0,129792.6,8.1753,2.051,0.498
11,47,76264,4164,363,35,1,1,Electronics,23.16,0.0027,0.5655,0.7604,1,1,96454.9,8.3345,1.027,1.119
12,56,95060,154,193,18,8,1,Electronics,21.15,0.0052,0.5851,0.5002,0,0,3257.72,5.0434,2.123,2.611
13,44,117416,1923,307,42,9,2,Electronics,36.42,0.0032,0.8825,0.5307,0,0,70041.43,7.5622,3.873,4.328
14,53,77545,3562,181,39,8,1,Home Decor,35.06,0.0055,0.7536,0.3365,0,0,124890.84,8.1784,1.051,2.521
15,46,138195,3179,292,17,0,2,Fashion,11.68,0.0034,0.5547,0.7619,1,0,37127.54,8.0646,3.704,3.185
16,55,59224,932,282,14,9,0,Sports,21.43,0.0035,0.4926,0.6444,1,0,19974.62,6.8384,0.019,-1.86
17,50,122516,4508,29,31,2,2,Grocery,23.01,0.0333,0.6881,0.21,0,1,103720.06,8.4138,3.48,2.437
18,54,117945,2906,149,24,7,2,Books,25.41,0.0067,0.713,0.3835,0,0,73829.84,7.9749,4.75,2.886
19,44,33224,2590,267,35,5,0,Beauty,27.59,0.0037,0.5178,0.556,1,0,71458.1,7.8598,-0.129,-0.715
20,50,60738,427,296,44,4,1,Books,28.43,0.0034,0.6052,0.5952,1,0,12138.33,6.0591,0.927,1.388
21,21,45150,3410,11,45,4,0,Beauty,31.91,0.0833,0.6171,0.0881,0,0,108813.1,8.1348,-1.141,1.288
22,39,83731,3400,164,34,5,1,Home Decor,27.9,0.0061,0.6592,0.3825,0,0,94860.0,8.1318,2.485,0.183
23,19,69688,3775,113,3,6,1,Fashion,14.28,0.0088,0.4098,0.4391,0,0,53888.12,8.2364,0.811,2.949
24,27,119929,3154,187,37,0,2,Electronics,21.65,0.0053,0.6601,0.4851,0,0,68296.72,8.0567,4.253,3.708
25,22,128618,2243,295,43,8,2,Fashion,35.74,0.0034,0.9022,0.5179,0,0,80171.55,7.716,4.356,3.215
26,27,93509,1411,232,40,2,1,Home Decor,24.41,0.0043,0.6315,0.531,0,0,34443.92,7.2528,1.204,0.929
27,50,28577,3291,227,26,3,0,Sports,20.79,0.0044,0.3998,0.5602,1,0,68423.18,8.0993,0.713,-0.699
28,55,28070,2638,310,23,9,0,Sports,27.64,0.0032,0.5047,0.6265,1,0,72909.04,7.8782,-1.374,-1.301
29,30,146161,4083,98,44,0,2,Home Decor,26.08,0.0101,0.7997,0.2922,0,1,106496.89,8.3148,4.237,4.373
30,48,28666,4647,55,39,9,0,Beauty,37.65,0.0179,0.6616,0.1015,0,1,174945.61,8.4442,-0.033,1.23
31,64,77761,264,111,15,2,1,Grocery,10.76,0.0089,0.3772,0.4721,0,0,2841.7,5.5797,1.905,0.375
32,53,141178,4377,152,49,1,2,Grocery,30.38,0.0065,0.8529,0.3371,0,1,132960.13,8.3843,3.058,2.558
33,62,56368,922,246,4,1,0,Beauty,4.42,0.004,0.221,0.7609,1,0,4077.08,6.8276,-0.75,0.347
34,41,26783,1043,69,29,0,0,Sports,15.54,0.0143,0.3135,0.3533,0,0,16211.35,6.9508,1.295,-0.24
35,32,131530,4525,312,22,7,2,Sports,26.02,0.0032,0.7593,0.6465,1,1,117763.12,8.4176,4.972,1.465
36,46,61914,874,289,25,2,1,Sports,16.37,0.0034,0.4214,0.7083,1,0,14310.88,6.7742,2.594,0.974
37,25,90507,2298,250,13,2,1,Fashion,11.8,0.004,0.4277,0.6912,1,0,27111.8,7.7402,2.752,3.061
38,22,147738,3256,36,18,5,2,Sports,19.76,0.027,0.7059,0.2552,0,0,64325.54,8.0886,4.677,2.528
39,46,99026,4342,239,33,7,1,Books,31.34,0.0042,0.7539,0.4709,0,1,136086.96,8.3763,1.741,1.369
40,64,135893,3795,148,16,8,2,Electronics,23.8,0.0067,0.7365,0.3985,0,0,90302.02,8.2417,4.038,2.084
41,21,131255,3552,227,45,8,2,Sports,38.05,0.0044,0.9451,0.3816,0,0,135160.7,8.1755,2.822,3.47
42,29,130616,1014,244,42,3,2,Beauty,26.51,0.0041,0.7644,0.5291,0,0,26885.2,6.9226,3.928,3.092
43,62,87526,1408,337,44,4,1,Electronics,29.41,0.003,0.6928,0.6529,1,0,41406.46,7.2506,2.947,0.906
44,19,90835,4277,201,2,1,1,Fashion,6.78,0.005,0.3507,0.6621,1,1,28985.23,8.3612,1.471,0.456
45,44,65765,613,154,35,8,1,Beauty,30.11,0.0065,0.645,0.3431,0,0,18459.27,6.42,2.819,2.624
46,48,39956,2020,73,42,7,0,Electronics,33.52,0.0135,0.628,0.174,0,0,67710.4,7.6113,0.073,-1.284
47,53,107895,3694,201,34,2,2,Beauty,23.69,0.005,0.6592,0.4872,0,0,87525.64,8.2147,2.892,3.403
48,53,66240,4941,296,30,8,1,Fashion,31.94,0.0034,0.6746,0.5589,1,1,157820.48,8.5055,1.114,-0.223
49,43,141008,1509,17,13,2,2,Books,11.01,0.0556,0.552,0.3142,0,0,16612.58,7.3199,4.735,3.566
50,60,57148,4902,129,13,8,0,Fashion,23.4,0.0077,0.5175,0.3712,0,1,114716.6,8.4976,0.442,0.776
51,44,114270,4666,217,18,1,2,Fashion,15.17,0.0046,0.5442,0.6018,1,1,70764.56,8.4483,4.081,3.876
52,22,147978,3290,61,32,9,2,Beauty,32.79,0.0161,0.9087,0.1617,0,0,107879.1,8.0989,3.781,2.871
53,37,24757,4591,104,32,8,0,Home Decor,32.59,0.0095,0.5725,0.2348,0,1,149625.28,8.4321,0.168,1.267
54,28,39097,1655,42,35,7,0,Grocery,29.66,0.0233,0.5658,0.1627,0,0,49079.02,7.4122,0.704,1.846
55,27,30395,904,25,39,8,0,Sports,32.4,0.0385,0.5849,0.1062,0,0,29293.22,6.8079,1.181,-0.257
56,57,36241,1379,39,46,4,0,Sports,30.38,0.025,0.5693,0.1503,0,0,41892.64,7.2298,1.219,-0.361
57,55,123892,3677,291,29,1,2,Books,19.68,0.0034,0.6402,0.6775,1,0,72352.33,8.2101,4.298,3.119
58,23,47696,3001,131,49,7,0,Books,38.0,0.0076,0.7185,0.2235,0,0,114041.0,8.007,-0.138,-0.382
59,25,135654,1487,229,29,5,2,Sports,23.49,0.0043,0.7311,0.5356,0,0,34925.17,7.3052,4.117,2.501
60,40,90480,4788,108,44,7,1,Grocery,37.29,0.0092,0.8231,0.1928,0,1,178534.94,8.4741,2.418,1.071
61,64,66163,2861,172,16,4,1,Sports,16.86,0.0058,0.4404,0.5099,0,0,48239.32,7.9593,2.414,2.873
62,43,39816,2779,102,44,9,0,Home Decor,38.28,0.0097,0.7015,0.1727,0,0,106377.34,7.9302,1.046,0.618
63,63,69840,2206,354,47,1,1,Grocery,27.21,0.0028,0.6109,0.7037,1,0,60016.44,7.6994,3.693,1.115
64,60,122547,4323,12,10,5,2,Books,16.82,0.0769,0.5923,0.2458,0,1,72725.83,8.3719,3.836,1.036
65,29,72853,4931,275,30,4,1,Electronics,25.93,0.0036,0.5992,0.5863,1,1,127865.76,8.5035,3.725,0.264
66,43,44917,2868,101,25,4,0,Beauty,21.37,0.0098,0.4529,0.3459,0,0,61283.42,7.9617,0.938,0.403
67,30,116731,4053,44,39,0,2,Home Decor,23.55,0.0222,0.6809,0.2291,0,1,95460.31,8.3075,3.919,1.303
68,57,41566,3286,305,20,1,0,Home Decor,14.79,0.0033,0.3418,0.7512,1,0,48586.8,8.0977,1.199,0.234
69,35,95452,3380,17,5,7,1,Books,16.38,0.0556,0.5121,0.2587,0,0,55364.4,8.1259,3.349,0.648
70,42,82823,2673,330,1,2,1,Books,6.17,0.003,0.3196,0.8816,1,0,16500.43,7.8913,1.632,1.573
71,50,141392,4716,57,30,9,2,Fashion,33.22,0.0172,0.8975,0.1507,0,1,156646.66,8.4589,5.386,3.051
72,64,40806,2699,311,49,2,0,Home Decor,30.2,0.0032,0.5788,0.6017,1,0,81507.1,7.901,0.86,0.096
